index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
2983,"$10,000",2021,,1 year,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Families,Not Specified,Cash grants,Embrey Family Foundation,"Dallas, TX United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",SEE ATTACHMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2984,"$10,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Friedlander Family Fund,"Cincinnati, OH United States",Colorado Public Radio,"Centennial, CO United States",GENERAL FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2985,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Age groups; Ethnic and racial groups,Not Specified,Cash grants,Fund for Investigative Journalism Inc,"Washington, DC United States",CalMatters,"Sacramento, CA United States",Investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2986,"$10,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Genesis Foundation,"Lone Tree, CO United States",Colorado Public Radio,"Centennial, CO United States",General,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2987,"$10,000",2021,Public Safety,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Ethnic and racial groups,Not Specified,Cash grants,Greater Washington Community Foundation,"Washington, DC United States",ISSUE ONE,"Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2988,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adolescents; Adults; Preteens,"Policy, advocacy and systems reform; Public engagement and education",Cash grants,Janet and Clint Reilly Family Foundation,"San Francisco, CA United States",The Commonwealth Club of California,"San Francisco, CA United States",TO SUPPORT ORGANIZATION WHICH EMBODIES THE DEMOCRATIC VALUES OF FREE AND OPEN DEBATE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2989,"$10,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Jeannette and H Peter Kriendler Char Trust,"New York City, NY United States","National Public Radio, Inc.","Washington, DC United States",ORGANIZATION'S GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2990,"$10,000",2021,,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Madison Community Foundation,"Madison, WI United States",Institute for Public Accuracy,"Oakland, CA United States",GENERAL CHARITABLE PURPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2991,"$10,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Madison Gas and Electric Foundation Inc,"Madison, WI United States",Isthmus Community Media Inc,"Madison, WI United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2992,"$10,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",Not Specified,Not Specified,Cash grants,Online News Association,"Washington, DC United States","Grist Magazine, Inc.","Seattle, WA United States",AWARD,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2993,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adolescents; Students,Program support,Cash grants,Richard W Sorenson Family Foundation Inc,"Fort Lauderdale, FL United States",Kingswood Oxford School Inc,"West Hartford, CT United States",SUPPORT ORGANIZATION'S PROGRAMS AND ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2994,"$10,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,The Davidson Family Foundation,"San Jose, CA United States",San Jose News Bureau,"San Jose, CA United States",COMMUNITY SERVICE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
