index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
63,"$1,500,000",2021,Future of Work(ers),3 years,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Women and girls; Low-income people; Men and boys; People of European descent; Researchers,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Morehouse College,"Atlanta, GA United States",Core support for International Comparative Labor Studies for its work on the Advancing Black Strategists Initiative (ABSI) to create a cohort of Black strategists and academics to building a world view and the power of Black people in the South,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
64,"$1,500,000",2021,CPA Central Office,1 year,2021 VPO 006,"Journalism, news and information; Journalism, news, and information, general",Low-income people; People with HIV/AIDS,Program support; Research and evaluation,Cash grants,The Rockefeller Foundation,"New York City, NY United States",AIDS Vaccine Advocay Coalition,"New York City, NY United States",Grant in support of building capacity among journalists in Southern and Eastern Africa to ensure more accurate and evidenced-based coverage about Covid-19 vaccines,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
65,"$1,500,000",2021,Other,3 years,Making Local Journalism Stronger and More Equitable,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Program support; Presentations and productions,Cash grants,W.K. Kellogg Foundation,"Battle Creek, MI United States",Community Foundation for Mississippi,"Jackson, MS United States","expand reporting and investigative journalism through building capacity, training, and networking of traditional and emerging newsrooms in Mississippi on how to collect, report, and use data to create compelling and informative stories to elevate underrepresented voices and change narratives",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
66,"$1,469,440",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Quitiplas Foundation,"Wilmington, DE United States",Independent World Television Inc,"Baltimore, MD United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
67,"$1,465,000",2021,"Information Program, Open Society Justice Initiative",1 year and 3 months,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,"Policy, advocacy and systems reform; Network-building and collaboration",Cash grants,Foundation to Promote Open Society,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","to support the Grantee's project, Digital ID Initiative and Fund, working on identity management systems that set an affirmative agenda at a global scale, enforcing accountability mechanisms and fostering network collaboration across the burgeoning group of civil society actors",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
68,"$1,427,430",2021,,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",Adults,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",International Documentary Association,"Los Angeles, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
69,"$1,393,275",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Constituency journalism",People of African descent,Not Specified,Cash grants,Triangle Strategic and Financial Advising for Not-for-Profits Inc,"Atlanta, GA United States",The Plug,"Atlanta, GA United States",Fiscal sponsorship,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
70,"$1,332,635",2021,,4 months,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Advocacy; Equal access; Public engagement and education; Systems reform; Program support,Cash grants,Fund for Policy Reform Inc,"New York City, NY United States",Courier Newsroom,"Washington, DC United States",to support the grantee’s non-partisan journalism on democracy and voting rights issues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
71,"$1,300,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,"Policy, advocacy and systems reform; Program support",Cash grants,Walton Family Foundation,"Bentonville, AR United States",The 74 Media Inc,"New York City, NY United States","To increase awareness of the people, programs and policies that are resulting in increased economic and social mobility for the 74 million school-aged children across the United States.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
72,"$1,295,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Equal access; Information technology,Cash grants,Omidyar Network Fund Inc,"Redwood City, CA United States",United Nations Economic Commission for Africa,"Addis Ababa, Ethiopia",To support Grantee's Digital Centre of Excellence on Digital ID and Data Protection,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
73,"$1,250,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Katie Mcgrath & Jj Abrams Family Foundation,"Encino, CA United States","PRO Publica, Inc.","New York City, NY United States",UNRESTRICTED SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
74,"$1,245,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Data and measurement systems; Program support,Cash grants,Mastercard Impact Fund,"Purchase, NY United States",The Howard University,"Washington, DC United States",IMPACT DATA SCIENCE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
75,"$1,236,800",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Age groups; Ethnic and racial groups,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",CalMatters,"Sacramento, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
76,"$1,220,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Donors Trust Inc,"Alexandria, VA United States",Franklin News Foundation,"Chicago, IL United States",for general operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
77,"$1,200,000",2021,,3 years,Strengthening Youth Voice for Health Equity Across California,"Journalism, news and information; Constituency journalism",Students,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",Youth Radio,"Oakland, CA United States",To support skill building and collective impact among youth media hubs in California to support youth journalists in raising awareness of health equity issues.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
78,"$1,200,000",2021,Journalism and Media,4 years,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; People of Latin American descent,General support,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",The Futuro Media Group,"New York City, NY United States",In support of general operations.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
